"avganncount","avgdeathsperyear","target_deathrate","incidencerate","medincome","popest2015","povertypercent","studypercap","binnedinc","medianage","medianagemale","medianagefemale","geography","percentmarried","pctnohs18_24","pcths18_24","pctsomecol18_24","pctbachdeg18_24","pcths25_over","pctbachdeg25_over","pctemployed16_over","pctunemployed16_over","pctprivatecoverage","pctprivatecoveragealone","pctempprivcoverage","pctpubliccoverage","pctpubliccoveragealone","pctwhite","pctblack","pctasian","pctotherrace","pctmarriedhouseholds","birthrate"
57,26,144.4,350.1,49955,10321,12.5,0,"(48021.6, 51046.4]",48.3,47.8,48.9,"Lincoln County, Washington",57.8,14.9,43,40,2,33.4,15,48.2,4.8,61.6,43.9,35.1,44,22.7,94.10402393,0.270192029,0.665830358,0.492135482,54.02745995,6.796657382
428,152,176,505.4,52313,61023,15.6,180.259902,"(51046.4, 54545.6]",45.4,43.5,48,"Mason County, Washington",50.4,29.9,35.1,NA,4.5,30.4,11.9,44.1,12.9,60,38.8,32.6,43.2,20.2,84.88263065,1.653205244,1.53805662,3.31463539,51.22035959,4.964476021
146,71,183.6,404,40189,20848,17.8,0,"(37413.8, 40362.7]",51.7,50.8,52.5,"Pacific County, Washington",52.7,27.3,33.9,36.5,2.2,31.6,11.3,40.9,8.9,55.8,33.1,25.9,50.9,24.1,89.40663599,0.305158634,1.889077258,2.286267861,48.96703297,5.889178996
4025,1380,177.8,510.9,60397,843954,13.1,427.7484318,"(54545.6, 61494.5]",35.8,34.7,37,"Pierce County, Washington",50,15.6,36.3,NA,7.1,28.8,16.2,56.6,9.2,69.9,NA,44.4,31.4,16.5,74.72966791,6.710854162,6.041472008,2.699184381,50.06357342,5.533430211
113,36,121.4,413.3,54721,16252,12.7,0,"(54545.6, 61494.5]",54.4,54,54.6,"San Juan County, Washington",56.8,17.7,32.4,NA,5.2,17.2,26.2,54.6,5.9,67.2,NA,27.9,41.6,18.3,92.57332665,0.651792429,1.428929556,2.237402858,50.0389206,4.586129754
740,269,172.7,499.3,51395,121846,15.7,837.1222691,"(51046.4, 54545.6]",41,40,42.2,"Skagit County, Washington",53.6,25.5,33.8,37.6,3.1,26.7,15.9,NA,8.2,64.4,NA,38,38.1,20.2,85.59027341,0.806079954,1.887835902,6.226590583,52.93732685,5.818153266
55,26,188.3,398.9,52673,11339,12.6,0,"(51046.4, 54545.6]",45.2,44.9,45.5,"Skamania County, Washington",54.4,20,43.8,NA,2.4,29.2,14.2,51.5,8.3,64.4,49.7,42.6,36.1,20.5,93.41812683,0.844970204,0.978386552,0.773814818,52.94771969,4.805591962
3438,1118,165.3,493.4,71890,772501,9.9,138.5111476,"(61494.5, 125635]",37.6,36.6,38.7,"Snohomish County, Washington",52.1,15.4,33.3,NA,8.3,24.3,20.9,62.1,7.5,73.3,61.6,54.3,25.9,14.1,78.83273756,2.595851085,9.51151338,2.252719804,52.72049671,4.729251068
251,106,174.2,423.8,43823,43791,19.3,0,"(42724.4, 45201]",46.2,45.6,46.8,"Stevens County, Washington",57.2,25.1,35.3,NA,3.9,34.4,10.7,46.3,9.4,58.3,39.3,33.9,45.8,24.1,89.17745936,0.489115459,0.603931294,0.865711399,55.21239889,3.631082062
305,120,162.8,442.5,49819,60338,15.7,464.0525042,"(48021.6, 51046.4]",36.9,35.5,39.1,"Walla Walla County, Washington",46.5,13.7,29.2,NA,5.6,22.6,16.4,54.5,6.4,65.7,47.6,40,38,18.8,86.23882396,1.649198004,1.617386063,5.63573653,49.3270649,4.138710893
1081,367,163.3,490.9,53733,212284,15.7,249.6655424,"(51046.4, 54545.6]",36.5,35.6,37.5,"Whatcom County, Washington",47.5,9.4,22.1,NA,7.7,23,21.3,57.8,8.2,68.7,54.6,44.8,31.9,17.4,85.4703042,0.880733945,3.925156929,2.425881217,48.06875024,4.4729858
134,50,140.8,390.5,41837,48177,28.4,0,"(40362.7, 42724.4]",24.2,24.4,23.9,"Whitman County, Washington",36.1,1.2,16.4,NA,10.3,17.4,25.7,53.4,8.8,78.3,66.2,53.8,22.9,11.9,83.58260051,2.154609838,7.614951751,1.61542247,40.55405483,3.304159034
94,41,189.7,445.2,35615,16704,21.5,0,"(34218.1, 37413.8]",41.5,40.9,42.1,"Barbour County, West Virginia",52,9.8,36.1,45.8,8.3,47.1,7.9,46.5,9,55.6,40.1,36.5,44.8,26.4,96.84418146,0.836770068,0.37654653,0.029884645,55.28885946,2.292860865
499,215,206.1,463.1,56737,111901,13.2,89.3647063,"(54545.6, 61494.5]",38.4,38,38.6,"Berkeley County, West Virginia",51.8,17,40.8,32.2,10,38.2,12.7,58.7,9.7,70,NA,49.7,33.1,17.3,87.80122144,7.333247489,1.052205585,0.905963725,51.52350516,4.872468117
80,40,196.3,396.6,33817,14415,22.2,0,"[22640, 34218.1]",44.5,43.7,45.3,"Braxton County, West Virginia",52.4,32.6,46.2,NA,3.4,49.1,8.5,44.3,14.4,56.1,41.9,38.9,43.4,25.4,97.91234619,0.497718789,0,0,53.27269485,5.469020422
50,25,226.5,459.9,32162,7470,21.8,0,"[22640, 34218.1]",47,47.6,46.5,"Calhoun County, West Virginia",55.7,11.6,31.4,NA,0,48.9,7.6,39.9,18.1,52.4,36.5,35.1,46,25.2,98.25327511,0.09262935,0.052931057,0.026465529,53.33333333,4.780114723
70,26,212.9,591,32961,8910,25.1,4938.271605,"[22640, 34218.1]",43.3,43.4,43.3,"Clay County, West Virginia",55.8,19.5,51.1,NA,0,49.1,5.8,39.6,12.3,48.7,33.7,32.6,52,32.5,98.04178974,0,0,0.043758889,58.09248555,8.753056235
25,19,185.6,234,41838,8176,17.4,0,"(40362.7, 42724.4]",43.7,41.8,45.5,"Doddridge County, West Virginia",45.8,26.2,61.7,10.1,1.9,44.3,8.8,41,6.5,55.2,37.7,35.5,45.2,25.4,96.67113767,1.085233508,0.085355444,0,53.92670157,6.016466118
45,21,209.9,463.1,32705,8518,28.9,0,"[22640, 34218.1]",38.4,37.4,41.2,"Gilmer County, West Virginia",43.2,7.8,29.4,NA,3.9,36.6,9.8,37.1,9.4,61.3,NA,41.2,39,18.8,81.55946321,10.89773253,0.323924109,1.353540028,52.58746356,2.328431373
58,22,128,356.3,41039,11766,17,0,"(40362.7, 42724.4]",45.6,45.5,45.7,"Grant County, West Virginia",50.5,16.3,41.5,33.8,8.4,50.2,7,51.3,6.7,65.1,48,44.5,42.4,21.2,97.37621667,1.379602201,0,0.110029623,55.4011976,3.528435035
