"X","id","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
51662,74018,"Female","Loyal Customer",40,"Business travel","Business",1471,1,1,1,1,5,4,5,5,5,5,5,5,5,4,0,0,"satisfied"
57869,116642,"Female","Loyal Customer",39,"Business travel","Business",3447,4,1,4,4,3,5,4,5,5,5,5,4,5,5,0,0,"satisfied"
2985,93864,"Male","Loyal Customer",58,"Business travel","Business",3084,1,1,1,1,3,4,5,3,3,4,3,4,3,5,16,12,"satisfied"
29924,5995,"Female","Loyal Customer",19,"Business travel","Business",2756,2,5,5,5,2,2,2,2,3,3,4,3,4,2,12,19,"neutral or dissatisfied"
95245,109129,"Male","disloyal Customer",42,"Business travel","Business",793,1,1,1,3,3,1,3,3,5,3,5,5,4,3,0,0,"neutral or dissatisfied"
103064,106688,"Male","Loyal Customer",30,"Personal Travel","Business",516,3,5,3,2,5,3,4,5,3,3,5,3,4,5,0,0,"neutral or dissatisfied"
68292,67310,"Female","Loyal Customer",47,"Business travel","Eco Plus",1119,2,1,1,1,3,4,4,2,2,2,2,2,2,2,0,0,"neutral or dissatisfied"
62554,124456,"Female","Loyal Customer",56,"Business travel","Business",980,1,1,1,1,2,5,5,5,5,5,5,4,5,5,15,4,"satisfied"
45403,20578,"Female","Loyal Customer",46,"Personal Travel","Eco",565,2,4,2,1,4,4,5,5,5,2,5,5,5,4,25,52,"neutral or dissatisfied"
65160,53470,"Female","Loyal Customer",77,"Business travel","Eco",2288,3,1,1,1,4,3,2,3,3,3,3,3,3,3,47,28,"neutral or dissatisfied"
46434,34007,"Male","Loyal Customer",62,"Business travel","Business",998,5,5,5,5,5,3,2,5,5,5,5,1,5,2,10,0,"satisfied"
9641,13169,"Female","Loyal Customer",62,"Personal Travel","Eco Plus",562,2,1,2,4,2,3,3,3,3,2,3,4,3,2,16,17,"neutral or dissatisfied"
